STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-07,14.76,,0.38,0.0,0.0,47,48,38,220,220,30.0,45.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-08,8.95,,0.00,0.0,0.0,39,45,37,210,210,17.0,23.0,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-09,5.37,,0.00,0.0,0.0,40,50,32,110,100,15.0,19.9,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-10,5.82,,0.27,0.0,0.0,42,48,33,140,120,15.0,19.9,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-11,8.50,,1.70,0.0,0.0,48,53,45,150,150,15.0,19.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-12,5.82,,0.14,0.0,0.0,52,56,43,110,120,13.0,21.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-13,5.14,,0.24,0.0,0.0,49,54,41,220,210,15.0,19.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-14,2.91,,0.00,0.0,0.0,45,50,39,130,120,10.1,14.1,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-15,3.13,,0.00,0.0,0.0,42,43,38,20,20,10.1,14.1,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-16,3.36,,0.00,0.0,0.0,40,42,38,30,20,8.9,11.0,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-17,6.26,,0.02,0.0,0.0,40,48,39,180,190,14.1,19.0,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-18,7.61,,0.03,0.0,0.0,46,47,45,200,200,17.0,21.9,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-19,4.03,,0.01,0.0,0.0,45,50,42,150,150,10.1,13.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-20,13.20,,0.16,0.0,0.0,49,52,40,220,200,23.0,35.1,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-21,3.58,,0.00,0.0,0.0,43,48,37,20,20,12.1,14.1,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-22,6.49,,0.00,0.0,0.0,40,44,34,20,10,15.0,19.0,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-23,4.03,,0.00,0.0,0.0,37,38,35,10,20,8.9,13.0,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-24,4.03,,0.00,0.0,0.0,36,39,34,40,20,12.1,16.1,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-25,3.36,,0.00,0.0,0.0,36,44,33,20,30,10.1,13.0,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-26,7.16,,0.00,0.0,0.0,35,39,32,20,70,14.1,18.1,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-27,2.01,,0.00,0.0,0.0,35,45,31,10,20,8.9,11.0,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-28,4.92,,0.00,0.0,0.0,37,50,28,120,110,13.0,16.1,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-29,5.82,,0.00,0.0,0.0,41,52,30,150,120,12.1,14.1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-30,11.18,,0.28,0.0,0.0,45,53,39,210,210,29.1,46.1,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-01-31,9.17,,0.00,0.0,0.0,42,46,35,220,230,19.9,25.9,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-01,6.49,,0.00,0.0,0.0,39,45,35,210,30,13.0,17.0,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-02,7.16,,0.00,0.0,0.0,37,43,33,200,230,15.0,19.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-03,8.95,,0.14,0.0,0.0,43,48,41,180,180,15.0,21.0,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-04,12.08,,0.03,0.0,0.0,44,48,40,200,190,25.9,35.1,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-05,5.82,,0.04,0.0,0.0,44,47,38,190,190,14.1,19.9,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-06,4.70,,0.00,0.0,0.0,41,49,34,140,160,12.1,16.1,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2022-02-07,12.53,,0.00,0.0,0.0,45,52,40,220,210,23.0,33.1,,,,,,,1
